smiles,jnk3_score
COc1ccc(C=C(C#N)C#N)cc1O,0.31
Cn1c(CCN2CCOCC2)nc2cc(NC(=O)c3cccc([N+](=O)[O-])c3)ccc21,0.26
COc1cc(-c2cc(=O)c3c(C)c(Cl)c(C)cc3o2)ccc1O,0.23
CNc1cc[nH+]c(NCc2nc(-c3cccc(F)c3)c(-c3ccccn3)[nH]2)n1,0.23
NC(=O)c1ccc(Nc2ncnc3scc(-c4ccccc4)c23)cc1,0.22
COc1ccc(CCN2C(=O)/C(=C/c3ccc(N4CCOCC4)o3)SC2=S)cc1,0.21
COC(=O)c1cc(C)ccc1NC(=O)c1cccc(Nc2cnn(C)c2)c1,0.18
N#C/C(=C\c1ccc(OS(=O)(=O)c2ccccc2)cc1)C(=O)NCc1ccccc1,0.17
O=C(CSc1ccccc1Cl)Nc1ccc([N+](=O)[O-])cc1C(F)(F)F,0.16
Cc1c(C)c2ccc(NC(=O)Cc3ccc([N+](=O)[O-])cc3)cc2[nH]c1=O,0.16
CC[C@@H](C)N1C(=O)[C@H](CC(=O)Nc2cccc([N+](=O)[O-])c2)S/C1=N\c1ccccc1,0.16
O=C(CCc1ccccc1O)N/N=C/c1cc([N+](=O)[O-])ccc1Cl,0.16
C[C@H](C(=O)Nc1cccc([N+](=O)[O-])c1)[n+]1ccccc1,0.15
Cc1c(-c2cnn(C)c2)nc(N)c(C#N)c1-c1ccc(-c2ccccn2)cc1,0.15
O=C(NC(=S)N1CC[NH+](CCO)CC1)c1cccc([N+](=O)[O-])c1,0.15
COc1ccc2c(Cl)c(C(=O)Nc3cccc([N+](=O)[O-])c3)sc2c1,0.15
CCC(CC)(C(=O)Cc1cccc2ccccc12)[NH+](C)C,0.14
Cn1/c(=N/C(=O)/C=C\c2ccc([N+](=O)[O-])cc2)sc2cc3c(cc21)OCO3,0.14
COc1ccc([N+](=O)[O-])cc1C(=O)O[C@@H](C)C(=O)N1c2ccccc2C[C@H]1C,0.14
CCN(CC(=O)N[C@H]1CCS(=O)(=O)C1)C(=O)Cc1cccc2ccccc12,0.14
Cn1cc(CN2CC[C@@H](C[NH+]3CCCC3)C2)c(-c2ccc([N+](=O)[O-])cc2)n1,0.14
O=[N+]([O-])c1ccc([O-])c(/N=C/c2cc(Cl)cc(Cl)c2O)c1,0.14
Cc1ccc(/C=C2/SC(=O)N(Cc3ccc(F)cc3)C2=O)o1,0.14
O=C(CCN1C(=O)/C(=C\c2cccs2)SC1=S)N[C@H]1C=CS(=O)(=O)C1,0.14
