eval_idx,round,run,llm,acq,picked_smiles,gp_mu,gp_sigma,acq_value,surrogate_label,true_logs_esol,best_so_far
1,1,2,gemini,ei,NCC(N)=O,-0.1981,0.8129,0.1609,0.7500,0.7555,0.7555
2,1,2,gemini,ei,Nc1cc(Cl)nc(Cl)n1,-1.1183,1.1661,0.0743,-2.2500,-2.2104,0.7555
3,1,2,gemini,ei,Nc1ccc(O)c(Cl)c1,-0.9779,1.0687,0.0719,-1.8500,-2.2490,0.7555
4,1,2,gemini,ei,O=C(O)c1cc(Cl)c(Cl)c(Cl)c1Cl,-1.5270,1.2232,0.0431,-4.8000,-4.2459,0.7555
5,1,2,gemini,ei,O=C(O)c1ccc(Cl)cc1Cl,-1.4767,1.1670,0.0388,-3.5000,-3.0576,0.7555
6,2,2,gemini,ei,NC(N)=O,0.7734,0.2137,0.0945,1.1500,0.4027,0.7555
7,2,2,gemini,ei,NC(=O)NC(N)=O,0.1289,0.7565,0.0865,0.7500,0.3189,0.7555
8,2,2,gemini,ei,NC(=O)C(N)C(=O)NC(=O)NC=O,-0.9147,1.2517,0.0530,0.1000,1.2194,1.2194
9,2,2,gemini,ei,CC(C(N)=O)C(=O)OC(=O)O,-1.6019,1.1277,0.0075,-0.5000,-0.2842,1.2194
10,2,2,gemini,ei,NC(=O)NCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1CCCCC1,-2.2352,1.3747,0.0072,-8.5000,-8.6564,1.2194
11,3,2,gemini,ei,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-0.8065,1.6601,0.0893,-3.1500,-1.8686,1.2194
12,3,2,gemini,ei,CC(C(N)=O)C(=O)NC(=O)NC=O,0.0122,0.8610,0.0314,-0.6500,0.4009,1.2194
13,3,2,gemini,ei,Nc1ccc([N+](=O)[O-])cc1C(=O)O,-0.9430,1.3130,0.0273,-2.3000,-1.7302,1.2194
14,3,2,gemini,ei,NC(=O)n1c(=O)[nH]c(=O)[nH]c1=O,0.0030,0.7646,0.0182,-0.4500,0.5174,1.2194
15,3,2,gemini,ei,CC(=O)OC(C)(C)CC(C)(C)C(C)(C)C,-2.6010,1.9043,0.0159,-5.1000,-3.3590,1.2194
