eval_idx,round,run,llm,picked_smiles,gp_util_mu,gp_sigma,acq_value,true_logs_esol,best_so_far,n_duels_cum
1,1,2,gemini,CC(C)C(N)=O,0.0051,5.4796,2.7450,-0.3946,0.2080,42
2,1,2,gemini,CCN(CC)C(=O)Nc1ccc(N)cc1,0.0000,5.4796,2.7398,-2.5729,0.2080,42
3,1,2,gemini,NCC(N)=O,0.0000,5.4796,2.7398,0.7555,0.7555,42
4,1,2,gemini,CC(C)C(C)C,0.0000,5.4796,2.7398,-1.7563,0.7555,42
5,1,2,gemini,CC(C)(C)C,0.0000,5.4796,2.7398,-1.5803,0.7555,42
6,2,2,gemini,NC(N)=O,9.9810,3.4111,11.6866,0.4027,0.7555,65
7,2,2,gemini,CC(C)C(C)C(C)C,2.6071,5.9707,5.5924,-2.2650,0.7555,65
8,2,2,gemini,CC(C)C(C)(C)C,2.6088,5.8025,5.5101,-2.1550,0.7555,65
9,2,2,gemini,NC(=O)CNC(N)=O,0.1852,6.7496,3.5599,0.7377,0.7555,65
10,2,2,gemini,Cc1cc(C(C)(C)C(C)C)ccc1O,0.0011,6.7504,3.3763,-3.5070,0.7555,65
11,3,2,gemini,NC(=O)NC(N)=O,2.0891,5.0403,4.6092,0.3189,0.7555,88
12,3,2,gemini,NC(=O)C(N)=O,0.3616,7.2689,3.9961,0.9011,0.9011,88
13,3,2,gemini,NC(=O)NC(=O)NC(N)=O,0.0330,7.3265,3.6962,0.2351,0.9011,88
14,3,2,gemini,NC(=O)N=C(N)C(N)=O,0.0036,7.3270,3.6671,0.6715,0.9011,88
15,3,2,gemini,NC(=O)C(N)C(=O)O,0.0000,7.3270,3.6635,0.8932,0.9011,88
