smiles,bt_utility,true_logs_esol
CC(N)=O,3.1024,0.1141
CO,14.7966,0.2080
CCO,-1.0723,-0.1247
CC(C)=O,-5.3216,-0.5751
Oc1ccccc1,-10.0263,-1.9349
Nc1ccccc1,-5.8628,-1.8510
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.3182,-0.8713
Cc1ccccc1,-11.1636,-2.3024
C1CCCCC1,-6.6749,-1.8364
CCCCCC,-3.1598,-1.8059
c1ccc2ccccc2c1,-9.4371,-3.1638
C=CCCCCCCCC,-4.5596,-2.7192
C(=C/c1ccccc1)/c1ccccc1,-9.2355,-3.8897
CC(C)C(N)=O,-0.7116,-0.3946
CCN(CC)C(=O)Nc1ccc(N)cc1,-11.1592,-2.5729
NCC(N)=O,11.4598,0.7555
CC(C)C(C)C,0.0198,-1.7563
CC(C)(C)C,-1.3206,-1.5803
NC(N)=O,18.7119,0.4027
CC(C)C(C)C(C)C,-5.5183,-2.2650
CC(C)C(C)(C)C,-14.2621,-2.1550
NC(=O)CNC(N)=O,1.6122,0.7377
Cc1cc(C(C)(C)C(C)C)ccc1O,-7.9899,-3.5070
NC(=O)NC(N)=O,8.2427,0.3189
NC(=O)C(N)=O,5.2588,0.9011
NC(=O)NC(=O)NC(N)=O,8.2427,0.2351
NC(=O)N=C(N)C(N)=O,22.5054,0.6715
NC(=O)C(N)C(=O)O,14.8414,0.8932
