smiles,bt_utility,true_score
COc1ccc(C=C(C#N)C#N)cc1O,21.7892,0.3100
NC(=O)c1ccc(Nc2ncnc3scc(-c4ccccc4)c23)cc1,17.9412,0.2200
COC(=O)c1cc(C)ccc1NC(=O)c1cccc(Nc2cnn(C)c2)c1,14.7293,0.1800
Nc1c(NCc2ccccc2)ncnc1Nc1ccccc1F,11.8233,0.1000
O=[N+]([O-])c1ccc(-c2ccc(CO)cc2)cc1,9.1339,0.1000
N#Cc1c(Cn2cc(I)cn2)cn2ccccc12,6.5885,0.0800
O=c1ccoc2c(Cl)cc(Cl)cc12,3.9712,0.0600
COc1ccc(Nc2cc(C)ccc2N)cc1C,1.3821,0.0500
CC(=O)Nc1cc(C)c(N)cn1,-1.1859,0.0400
O=[S@@]1CCCNc2ccccc21,-3.8722,0.0200
N#Cc1c[nH]c2ccc(Cl)cc12,-6.6253,0.0200
Cc1ncccc1NC(=O)OCCO,-9.5026,0.0100
Cn1nc(Br)cc1N,-12.9783,0.0000
CSCCc1ccc(N)cc1,-17.0336,0.0000
Nc1ccc(N)c(NC(=O)NC(=O)Nc2ccccc2)c1,8.7056,0.0000
Cc1ccc(O)c(O)c1,-5.1832,0.0000
CC(C)(C)c1ccc(O)c(O)c1,0.0739,0.0000
Cc1ccc(O)c(Cl)c1,-13.7737,0.0000
NC=C1C=CC(NS(=O)(=O)c2ccc(N)cc2)=C1,4.2268,0.0100
Nc1ccc(N)c(C(=O)NC(=O)Nc2ccccc2)c1,-6.2541,0.0000
NC=CC=C1CC=CC=C2C=Cc3cc([N+](=O)[O-])cc(c3N1)C(=O)C2,2.1160,0.0500
Nc1ccc(Cl)cc1C(=O)Nc1ccccc1,-2.1629,0.0100
O=C(O)c1ccccc1-c1ccc(Cl)cc1,2.8411,0.0000
NC=C1C=C(S(=O)(=O)O)CC=C1Oc1ccccc1,-3.5276,0.0100
CC=Cc1ccc2ccccc2c1,-5.1832,0.0100
NC=Cc1ccccc1C(=O)Nc1ccccc1,-7.3911,0.0000
NC=Cc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1ccccc1,-5.1832,0.0100
CC=CC=C1C=CN1S(=O)(=O)c1ccc(Cl)cc1,-2.9739,0.0100
Nc1ccc2cc1S(=O)(=O)c1ccc(Cl)cc1C=C2,-2.4911,0.0100
