trial,best_of_n
0,0.0978
1,-0.7981
2,0.0303
3,0.9893
4,1.2747
5,-0.4124
6,1.8051
7,-0.5028
8,-1.4181
9,1.6605
10,0.1317
11,-0.9507
12,-0.2023
13,-0.9559
14,2.6267
15,0.5015
16,-1.5234
17,-0.7353
18,4.1835
19,-0.3815
20,-0.5906
21,0.0383
22,0.4039
23,-1.0639
24,0.6264
25,-0.7574
26,1.7796
27,-0.0782
28,0.6432
29,0.3348
30,5.0934
31,-0.041
32,-1.7622
33,-0.4283
34,-0.2448
35,-0.8475
36,0.1338
37,0.8271
38,1.767
39,0.1428
40,1.5521
41,0.9893
42,-1.4402
43,-0.1648
44,0.0968
45,0.6189
46,0.5235
47,1.2235
48,0.0346
49,1.6605
50,-1.0963
51,0.3719
52,-0.6185
53,-0.2119
54,-0.8393
55,0.5886
56,1.4657
57,-0.0956
58,1.3296
59,-0.3896
60,1.6605
61,1.9049
62,-0.7721
63,-0.6926
64,-0.5744
65,2.4965
66,-0.5453
67,-0.2802
68,-0.5254
69,-0.1907
70,0.5182
71,-0.6475
72,1.0968
73,-0.0359
74,3.7674
75,-0.3603
76,0.3446
77,-0.8433
78,-0.8387
79,-0.0011
80,-0.4102
81,0.1896
82,-0.4621
83,-0.6781
84,-0.1657
85,-0.619
86,1.0968
87,0.9243
88,0.1515
89,4.7041
90,-1.3972
91,0.6342
92,2.4965
93,-0.6075
94,-0.0135
95,0.3746
96,0.0324
97,-0.1554
98,-0.1205
99,0.3746
100,-0.4696
101,0.4501
102,4.405
103,1.3175
104,1.5007
105,-0.3096
106,0.2428
107,2.2869
108,1.0834
109,-0.3089
110,-0.8699
111,0.7576
112,3.156
113,1.652
114,1.0693
115,0.7008
116,-0.1608
117,2.6267
118,0.3226
119,0.2691
120,0.544
121,-0.1182
122,-0.1373
123,-0.1022
124,0.1261
125,-0.3709
126,2.3302
127,-0.7292
128,0.2513
129,1.3021
130,0.544
131,2.5397
132,2.4965
133,1.257
134,-0.8419
135,0.4616
136,-0.5495
137,0.3746
138,-0.5871
139,3.7674
140,-0.7574
141,0.9893
142,0.995
143,2.5397
144,-0.5453
145,0.6891
146,0.167
147,0.4073
148,-0.3972
149,-0.9002
150,2.5414
151,2.9944
152,-0.8852
153,-0.4565
154,-0.3107
155,0.6476
156,-0.1025
157,0.9893
158,0.3108
159,-1.1091
160,1.2047
161,-0.0801
162,-0.1847
163,-0.1527
164,0.6806
165,-0.024
166,-0.1648
167,-2.0854
168,1.702
169,0.9757
170,0.638
171,-0.3709
172,-0.324
173,1.2034
174,-0.2921
175,0.3171
176,0.3715
177,0.7239
178,0.8695
179,-0.2925
180,-0.9249
181,4.1835
182,0.1577
183,-0.8825
184,0.923
185,0.2793
186,-0.6757
187,0.0655
188,1.0198
189,1.3369
190,-0.174
191,0.1659
192,-1.9589
193,-0.1469
194,0.8407
195,0.1577
196,1.702
197,-0.146
198,0.5419
199,-0.1025
200,0.2058
201,0.3443
202,0.2547
203,-0.722
204,-0.4397
205,-1.4282
206,2.5414
207,-1.1863
208,-0.3094
209,-0.7154
210,-1.3894
211,-0.8778
212,1.6326
213,-0.2038
214,0.3746
215,3.0651
216,-0.4582
217,0.7647
218,-0.8577
219,0.2492
220,-0.8534
221,1.9018
222,0.9962
223,0.7239
224,-0.6248
225,3.7674
226,0.9463
227,-0.8521
228,-0.0738
229,0.8661
230,-0.3654
231,-0.7079
232,2.2869
233,1.828
234,-1.3825
235,0.3488
236,-0.8467
237,0.0436
238,-0.3767
239,0.7647
240,0.4462
241,-0.3649
242,-0.276
243,0.3315
244,1.5521
245,0.1992
246,0.9103
247,0.1515
248,0.5182
249,2.3305
250,0.2921
251,0.9325
252,-0.2324
253,-1.0244
254,0.6891
255,-0.0923
256,-0.2892
257,-0.8227
258,-0.3757
259,0.4143
260,-1.4339
261,-0.3185
262,-0.2949
263,-0.2038
264,-0.4439
265,-0.9336
266,-0.4457
267,0.1896
268,-1.5271
269,0.9785
270,0.276
271,1.3296
272,2.7489
273,-0.2208
274,1.4881
275,1.3683
276,1.3558
277,1.7917
278,-1.2989
279,-1.2365
280,0.0677
281,0.2616
282,1.2235
283,1.6605
284,-0.7842
285,0.8131
286,1.1858
287,-1.0698
288,3.4283
289,1.767
290,-0.2023
291,0.1867
292,-0.1352
293,-0.2038
294,1.5018
295,-0.7145
296,-0.0393
297,-0.6454
298,-1.2179
299,3.6687
300,0.9683
301,0.4506
302,1.9462
303,0.638
304,0.8733
305,1.4158
306,1.9049
307,1.0938
308,0.9463
309,0.4616
310,-0.4686
311,0.7576
312,0.7055
313,0.6823
314,0.1446
315,0.185
316,-1.4274
317,2.3302
318,2.6041
319,0.0557
320,1.5572
321,-0.3586
322,1.3296
323,3.7321
324,-0.937
325,0.9809
326,0.9056
327,0.0383
328,-0.5578
329,-0.4504
330,0.2168
331,-0.5605
332,5.0329
333,0.3519
334,-0.402
335,1.2747
336,1.4158
337,1.1858
338,-1.244
339,-0.8743
340,0.2103
341,1.8801
342,-0.2438
343,0.0286
344,-0.0998
345,0.5015
346,0.2244
347,-0.1616
348,0.5235
349,0.3454
350,0.6264
351,-0.3912
352,0.4073
353,1.0693
354,-1.1647
355,2.0732
356,-0.2421
357,-0.468
358,-0.7862
359,0.6543
360,1.8051
361,-0.9888
362,1.9049
363,1.8051
364,2.0044
365,0.4027
366,2.0732
367,-0.3077
368,0.923
369,0.2365
370,4.002
371,0.0509
372,0.792
373,-0.9402
374,1.3369
375,-0.6006
376,0.9757
377,3.6687
378,0.7992
379,-0.5888
380,0.9894
381,1.9049
382,0.4027
383,1.6118
384,0.4882
385,-0.5788
386,1.3021
387,1.3507
388,-0.2
389,1.5018
390,1.3296
391,-0.7971
392,-0.2448
