iteration,run,llm,acq,picked_id,picked_smiles,picked_name,predicted_logs,confidence,sigma,acq_value,true_logs_esol,best_so_far,n_scored
1,1,gemini,ei,10,C=CCS(=O)(=O)[O-],sodium prop-2-ene-1-sulfonate,0.8000,8,0.5222,0.6255,-0.2811,0.2080,30
2,1,gemini,ei,13,CC[S+]([O-])CCSP(=O)(OC)OC,oxydemeton methyl,0.5000,8,0.5222,0.3861,-2.0951,0.2080,29
3,1,gemini,ei,6,CC(=O)NCCO,"acetamide, n-(2-hydroxyethyl)-",0.4500,9,0.3111,0.2809,0.2103,0.2103,28
4,1,gemini,ei,13,O=C(CS)OCC(O)CO,"1,3-dihydroxypropan-2-yl 2-sulfanylacetate 2,3-dihydroxypropyl 2-sulfanylacetate",0.5000,8,0.5222,0.3844,0.1416,0.2103,27
5,1,gemini,ei,26,NC(=O)c1ccccn1,2-pyridinecarboxamide,-0.4500,8,0.5222,0.0256,-1.1382,0.2103,26
6,1,gemini,ei,11,O=C(NCCCCCCNC(=O)OCCO)OCCO,2-hydroxyethyl N-[6-(2-hydroxyethoxycarbonylamino)hexyl]carbamate,-0.5000,7,0.7333,0.0648,-0.9163,0.2103,25
7,1,gemini,ei,15,NS(=O)(=O)c1cccc(S(N)(=O)=O)c1,"1,3-benzenedisulfonamide",-1.1000,7,0.7333,0.0108,-0.8483,0.2103,24
8,1,gemini,ei,5,CC(C)CC(NC(=O)C(C)NC(=O)CN)C(=O)NC(C(=O)O)C(C)C,2-[[2-[2-[(2-aminoacetyl)amino]propanoylamino]-4-methylpentanoyl]amino]-3-methylbutanoic acid,-1.2400,7,0.7333,0.0066,-0.9022,0.2103,23
9,1,gemini,ei,5,O=c1[nH]c(CN2CCCC2)c(Cl)c(=O)[nH]1,"5-chloro-6-(pyrrolidin-1-ylmethyl)-1H-pyrimidine-2,4-dione",-0.8500,7,0.7333,0.0243,-1.6247,0.2103,22
10,1,gemini,ei,17,CCCCOCCOCCOCCCC,1-[2-(2-butoxyethoxy)ethoxy]butane,-1.0000,6,0.9444,0.0447,-2.0626,0.2103,21
