idx,smiles,name,final_utility,final_std_err,true_logs_esol,evaluated
0,NC(=O)NCC(=O)O,n-(aminocarbonyl)glycine,19.4049,7.3398,0.3541,1
1,CCCC(=O)OCn1cnc2c1c(=O)n(C)c(=O)n2C,7-(butyryloxymethyl)theophylline;  7-(butanoyloxymethyl)theophylline,1.8382,6.4630,-1.4795,1
2,CN(O)C(=O)C1CCCCCC1,N-Hydroxy-N-methylcycloheptanecarboxamide,11.9719,6.7154,-1.9725,1
3,c1ccc(CCc2ccccc2)cc1,bibenzyl,-16.2052,6.9194,-3.5936,0
4,COc1ccc(N/N=C2/C(=O)c3ccc(Nc4nc(Nc5ccc6c(c5)C=C(S(=O)(=O)[O-])/C(=N/Nc5ccc(OC)cc5S(=O)(=O)[O-])C6=O)nc(N5CCOCC5)n4)cc3C=C2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,"tetrasodium 7,7'-[(6-morpholin-4-yl-1,3,5-triazine-2,4-diyl)diimino]bis{4-hydroxy-3-[(4-methoxy-2-sulfonatophenyl)diazenyl]naphthalene-2-sulfonate}",19.3891,7.2754,-7.0982,1
5,Clc1cccc(-c2c(Cl)cccc2Cl)c1,"2,3',6-trichlorobiphenyl",-22.3688,7.5630,-5.3105,0
6,CCCCN(CCCC)N=O,n-nitrosodibutylamine,0.2678,6.4470,-1.9782,0
7,CCCCCCCCCCCCCCCCOC(=O)Oc1c(Cl)cc(C(=O)OCC)cc1Cl,"ethyl 3,5-dichloro-4-{[(hexadecyloxy)carbonyl]oxy}benzoate",-31.8681,9.8110,-7.6834,1
8,CNS(=O)(=O)c1cc(OC)c(N)cc1OC,"4-amino-2,5-dimethoxy-N-methylbenzenesulfonamide",5.5481,6.4660,-1.5028,0
9,O=[N+]([O-])c1ccc(-c2nc3ccc(F)cc3[nH]2)o1,6-fluoro-2-(5-nitrofuran-2-yl)-1H-benzimidazole,-9.2357,6.5966,-3.6243,1
10,COC(=O)c1ccc(C(=O)OC)cc1,"1,4-dimethyl benzene-1,4-dicarboxylate",-2.5955,6.4300,-2.0228,0
11,CN(CCC#N)c1ccc(C=CC2=[N+](C)c3ccccc3C2(C)C)cc1,"2-[2-[4-[(2-cyanoethyl)methylamino]phenyl]vinyl]-1,3,3-trimethyl-3H-indolium dihydrogen phosphate",11.6996,6.6827,-4.9835,1
12,FC(F)=C(F)C(F)(F)F,hexafluoroprop-1-ene,-11.6884,6.7010,-2.4247,0
13,Cc1cc(C)c[n+]([O-])c1,"3,5-dimethylpyridine-n-oxide",22.6743,7.8670,-1.6871,1
14,CC(C)CCOC(=O)c1ccccc1O,"benzoic acid, 2-hydroxy-, 3-methylbutyl ester",-11.7305,6.7166,-2.7981,0
15,CCCOCC(O)COCCC,"2-propanol, 1,3-dipropoxy-",12.7947,6.7157,-1.1611,1
16,NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(O)cc2)co1,4-(4-hydroxyphenyl)sulfonylfuran-2-sulfonamide,5.2591,6.4640,-2.2442,0
17,CC(=O)c1cccc2ccccc12,1-(naphthalen-1-yl)ethan-1-one,-5.5875,6.4822,-3.3153,0
18,CC(=O)c1ccc(O)c(C(=O)[O-])c1,"benzoic acid, 5-acetyl-2-hydroxy-",9.1204,6.5510,-1.1340,1
19,Clc1cc(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c(Cl)c1,"2,2',4,4',6,6'-PCB",-26.8165,8.3622,-7.0874,0
20,O=C1NC(=O)C2(CC2)C(=O)N1,"spiro-5,5-dimethylenebarbituric  acid",9.1220,6.5595,-0.2491,1
21,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,isazofos,0.4984,6.4677,-3.5377,1
22,COC(=O)c1ccc(O)c(I)c1,"benzoic acid, 4-hydroxy-3-iodo-, methyl ester",-5.3104,6.4784,-2.9914,0
23,COC(/C=C\C(OC)OC)OC,"1,1,4,4-tetramethoxy-but-2-ene",15.8395,6.9727,-1.0282,1
24,OCC1(O)OCC(O)C(O)C1O,fructose,27.5609,8.5712,1.1375,1
25,CC/C=C/CCCCCCC,undec-3-ene,-18.0100,6.9601,-3.0519,0
26,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,"1,2-dichloro-4-nitrobenzene",-6.4717,6.4873,-3.1961,0
27,O=C1C=Cc2ccccc2/C1=N/Nc1ccc([N+](=O)[O-])cc1Cl,1-[(E)-2-(2-chloro-4-nitrophenyl)diazen-1-yl]naphthalen-2-ol,-18.2673,6.9734,-4.3660,0
28,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,4-dimethylamino-3'-methylazobenzene,-14.6698,6.8832,-4.4393,0
29,O=P(O)(O)OCC(O)CO,glycerophosphoric acid,27.8364,8.5923,0.3343,1
